payment_type,actual_shipping_days,scheduled_shipping_days,benefit_per_order,sales_per_customer,delivery_status,late_delivery_risk,category_id,category_name,customer_city,customer_country,customer_id,customer_segment,customer_state,department_id,department_name,latitude,longitude,market,order_city,order_country,order_customer_id,order_id,order_item_discount,order_item_discount_rate,order_item_id,product_price,profit_ratio,quantity,sales,order_item_total,profit_per_order,order_region,order_state,order_status,product_id,product_category_id,product_name,product_list_price,product_status,shipping_mode,order_date,shipping_date,delay_days,is_late,profit_margin_pct,revenue_at_risk,order_year,order_month,order_quarter,order_month_name,order_yearmonth,order_dayofweek,order_week,has_discount,abc_class,supplier_proxy
TRANSFER,4,2,21.76,262.2,Late delivery,1,73,Sporting Goods,Salinas,United States,19481,Corporate,CA,2,Fitness,36.68,-121.66,Pacific Asia,Manado,Indonesia,19481,75928,65.55000305,0.200000003,179243,327.75,0.079999998,1,327.75,262.2000122,21.76000023,Southeast Asia,Célebes Septentrional,PENDING,1360,73,Smart watch,327.75,0,Second Class,2018-01-13,2018-01-17,2,1,6.64,327.75,2018,1,1,Jan,2018-01,Saturday,2,1,C,Fitness — Second Class
DEBIT,2,1,24.58,245.81,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,19480,Corporate,PR,2,Fitness,18.28,-66.04,Pacific Asia,Sangli,India,19480,75927,81.94000244,0.25,179242,327.75,0.100000001,1,327.75,245.8099976,24.57999992,South Asia,Maharashtra,COMPLETE,1360,73,Smart watch,327.75,0,First Class,2018-01-13,2018-01-15,1,1,7.5,327.75,2018,1,1,Jan,2018-01,Saturday,2,1,C,Fitness — First Class
TRANSFER,2,1,16.39,327.75,Late delivery,1,73,Sporting Goods,Peabody,United States,19479,Corporate,MA,2,Fitness,42.53,-70.93,Pacific Asia,Sangli,India,19479,75926,0.0,0.0,179241,327.75,0.050000001,1,327.75,327.75,16.38999939,South Asia,Maharashtra,PROCESSING,1360,73,Smart watch,327.75,0,First Class,2018-01-13,2018-01-15,1,1,5.0,327.75,2018,1,1,Jan,2018-01,Saturday,2,0,C,Fitness — First Class
DEBIT,2,1,-259.58,324.47,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,19478,Corporate,PR,2,Fitness,18.28,-66.04,Pacific Asia,Sangli,India,19478,75925,3.279999971,0.01,179240,327.75,-0.800000012,1,327.75,324.4700012,-259.5799866,South Asia,Maharashtra,COMPLETE,1360,73,Smart watch,327.75,0,First Class,2018-01-13,2018-01-15,1,1,-79.2,327.75,2018,1,1,Jan,2018-01,Saturday,2,1,C,Fitness — First Class
PAYMENT,5,2,-246.36,321.2,Late delivery,1,73,Sporting Goods,Canovanas,Puerto Rico,19477,Corporate,PR,2,Fitness,18.4,-65.87,Pacific Asia,Seoul,Corea Del Sur,19477,75924,6.559999943,0.02,179239,327.75,-0.769999981,1,327.75,321.2000122,-246.3600006,Eastern Asia,Seúl,PENDING_PAYMENT,1360,73,Smart watch,327.75,0,Second Class,2018-01-13,2018-01-18,3,1,-75.17,327.75,2018,1,1,Jan,2018-01,Saturday,2,1,C,Fitness — Second Class
CASH,2,1,23.84,317.92,Late delivery,1,73,Sporting Goods,Paramount,United States,19476,Corporate,CA,2,Fitness,33.9,-118.17,Pacific Asia,Jabalpur,India,19476,75923,9.829999924,0.029999999,179238,327.75,0.079999998,1,327.75,317.9200134,23.84000015,South Asia,Madhya Pradesh,CLOSED,1360,73,Smart watch,327.75,0,First Class,2018-01-13,2018-01-15,1,1,7.27,327.75,2018,1,1,Jan,2018-01,Saturday,2,1,C,Fitness — First Class
DEBIT,2,1,102.26,314.64,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,19475,Consumer,PR,2,Fitness,18.23,-66.04,Pacific Asia,Jabalpur,India,19475,75922,13.10999966,0.039999999,179237,327.75,0.330000013,1,327.75,314.6400146,102.2600021,South Asia,Madhya Pradesh,COMPLETE,1360,73,Smart watch,327.75,0,First Class,2018-01-13,2018-01-15,1,1,31.2,327.75,2018,1,1,Jan,2018-01,Saturday,2,1,C,Fitness — First Class
PAYMENT,0,0,87.18,311.36,Shipping on time,0,73,Sporting Goods,Mount Prospect,United States,19474,Consumer,IL,2,Fitness,42.05,-87.96,Pacific Asia,Jabalpur,India,19474,75921,16.38999939,0.050000001,179236,327.75,0.280000001,1,327.75,311.3599854,87.18000031,South Asia,Madhya Pradesh,PENDING_PAYMENT,1360,73,Smart watch,327.75,0,Same Day,2018-01-13,2018-01-13,0,0,26.6,0.0,2018,1,1,Jan,2018-01,Saturday,2,1,C,Fitness — Same Day
TRANSFER,0,0,154.86,309.72,Shipping on time,0,73,Sporting Goods,Long Beach,United States,19473,Corporate,CA,2,Fitness,33.78,-118.19,Pacific Asia,Jabalpur,India,19473,75920,18.03000069,0.059999999,179235,327.75,0.5,1,327.75,309.7200012,154.8600006,South Asia,Madhya Pradesh,PROCESSING,1360,73,Smart watch,327.75,0,Same Day,2018-01-13,2018-01-13,0,0,47.25,0.0,2018,1,1,Jan,2018-01,Saturday,2,1,C,Fitness — Same Day
TRANSFER,5,4,82.3,304.81,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,19472,Corporate,PR,2,Fitness,18.28,-66.04,Pacific Asia,Jabalpur,India,19472,75919,22.94000053,0.07,179234,327.75,0.270000011,1,327.75,304.8099976,82.30000305,South Asia,Madhya Pradesh,PENDING,1360,73,Smart watch,327.75,0,Standard Class,2018-01-13,2018-01-18,1,1,25.11,327.75,2018,1,1,Jan,2018-01,Saturday,2,1,C,Fitness — Standard Class
TRANSFER,4,2,22.37,298.25,Late delivery,1,73,Sporting Goods,Rancho Cordova,United States,19471,Corporate,CA,2,Fitness,38.61,-121.28,Pacific Asia,Geelong,Australia,19471,75918,29.5,0.090000004,179233,327.75,0.079999998,1,327.75,298.25,22.37000084,Oceania,Victoria,PENDING,1360,73,Smart watch,327.75,0,Second Class,2018-01-13,2018-01-17,2,1,6.83,327.75,2018,1,1,Jan,2018-01,Saturday,2,1,C,Fitness — Second Class
DEBIT,6,2,131.17,285.14,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,19468,Corporate,PR,2,Fitness,18.26,-66.04,Pacific Asia,Mandurah,Australia,19468,75915,42.61000061,0.129999995,179230,327.75,0.460000008,1,327.75,285.1400146,131.1699982,Oceania,Australia Occidental,COMPLETE,1360,73,Smart watch,327.75,0,Second Class,2018-01-13,2018-01-19,4,1,40.02,327.75,2018,1,1,Jan,2018-01,Saturday,2,1,C,Fitness — Second Class
TRANSFER,5,2,90.54,278.59,Late delivery,1,73,Sporting Goods,Wilkes Barre,United States,19467,Consumer,PA,2,Fitness,41.24,-75.87,Pacific Asia,Mandurah,Australia,19467,75914,49.15999985,0.150000006,179229,327.75,0.330000013,1,327.75,278.5899963,90.54000092,Oceania,Australia Occidental,PENDING,1360,73,Smart watch,327.75,0,Second Class,2018-01-13,2018-01-18,3,1,27.62,327.75,2018,1,1,Jan,2018-01,Saturday,2,1,C,Fitness — Second Class
PAYMENT,4,4,82.59,275.31,Shipping on time,0,73,Sporting Goods,Caguas,Puerto Rico,19466,Corporate,PR,2,Fitness,18.27,-66.04,Pacific Asia,Guilin,China,19466,75913,52.43999863,0.159999996,179228,327.75,0.300000012,1,327.75,275.3099976,82.58999634,Eastern Asia,Guangxi,PENDING_PAYMENT,1360,73,Smart watch,327.75,0,Standard Class,2018-01-13,2018-01-17,0,0,25.2,0.0,2018,1,1,Jan,2018-01,Saturday,2,1,C,Fitness — Standard Class
DEBIT,3,4,-17.14,272.03,Advance shipping,0,73,Sporting Goods,Roseville,United States,19465,Corporate,MI,2,Fitness,41.87,-84.57,Pacific Asia,Guilin,China,19465,75912,55.72000122,0.170000002,179227,327.75,-0.059999999,1,327.75,272.0299988,-17.13999939,Eastern Asia,Guangxi,COMPLETE,1360,73,Smart watch,327.75,0,Standard Class,2018-01-13,2018-01-16,-1,0,-5.23,0.0,2018,1,1,Jan,2018-01,Saturday,2,1,C,Fitness — Standard Class
TRANSFER,2,4,23.65,268.76,Advance shipping,0,73,Sporting Goods,Bellflower,United States,19464,Consumer,CA,2,Fitness,33.91,-118.13,Pacific Asia,Guilin,China,19464,75911,59.0,0.180000007,179226,327.75,0.090000004,1,327.75,268.7600098,23.64999962,Eastern Asia,Guangxi,PROCESSING,1360,73,Smart watch,327.75,0,Standard Class,2018-01-13,2018-01-15,-2,0,7.22,0.0,2018,1,1,Jan,2018-01,Saturday,2,1,C,Fitness — Standard Class
DEBIT,6,4,73.42,262.2,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,19463,Consumer,PR,2,Fitness,18.28,-66.04,Pacific Asia,Guilin,China,19463,75910,65.55000305,0.200000003,179225,327.75,0.280000001,1,327.75,262.2000122,73.41999817,Eastern Asia,Guangxi,ON_HOLD,1360,73,Smart watch,327.75,0,Standard Class,2018-01-13,2018-01-19,2,1,22.4,327.75,2018,1,1,Jan,2018-01,Saturday,2,1,C,Fitness — Standard Class
DEBIT,5,4,113.07,245.81,Late delivery,1,73,Sporting Goods,Wheaton,United States,19462,Consumer,IL,2,Fitness,41.87,-88.11,Pacific Asia,Delhi,India,19462,75909,81.94000244,0.25,179224,327.75,0.460000008,1,327.75,245.8099976,113.0699997,South Asia,Delhi,COMPLETE,1360,73,Smart watch,327.75,0,Standard Class,2018-01-13,2018-01-18,1,1,34.5,327.75,2018,1,1,Jan,2018-01,Saturday,2,1,C,Fitness — Standard Class
PAYMENT,4,4,24.58,327.75,Shipping on time,0,73,Sporting Goods,Caguas,Puerto Rico,19461,Consumer,PR,2,Fitness,18.29,-66.04,Pacific Asia,Delhi,India,19461,75908,0.0,0.0,179223,327.75,0.079999998,1,327.75,327.75,24.57999992,South Asia,Delhi,PENDING_PAYMENT,1360,73,Smart watch,327.75,0,Standard Class,2018-01-13,2018-01-17,0,0,7.5,0.0,2018,1,1,Jan,2018-01,Saturday,2,0,C,Fitness — Standard Class
DEBIT,2,1,-97.34,324.47,Late delivery,1,73,Sporting Goods,Detroit,United States,19460,Consumer,MI,2,Fitness,42.39,-83.13,Pacific Asia,Suzhou,China,19460,75907,3.279999971,0.01,179222,327.75,-0.300000012,1,327.75,324.4700012,-97.33999634,Eastern Asia,Gansu,COMPLETE,1360,73,Smart watch,327.75,0,First Class,2018-01-13,2018-01-15,1,1,-29.7,327.75,2018,1,1,Jan,2018-01,Saturday,2,1,C,Fitness — First Class
PAYMENT,2,1,-425.58,321.2,Late delivery,1,73,Sporting Goods,Dallas,United States,19459,Consumer,TX,2,Fitness,32.87,-96.87,Pacific Asia,Suzhou,China,19459,75906,6.559999943,0.02,179221,327.75,-1.330000043,1,327.75,321.2000122,-425.5799866,Eastern Asia,Gansu,PENDING_PAYMENT,1360,73,Smart watch,327.75,0,First Class,2018-01-13,2018-01-15,1,1,-129.85,327.75,2018,1,1,Jan,2018-01,Saturday,2,1,C,Fitness — First Class
PAYMENT,2,1,152.6,317.92,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,19458,Corporate,PR,2,Fitness,18.24,-66.04,Pacific Asia,Singapur,Singapur,19458,75905,9.829999924,0.029999999,179220,327.75,0.479999989,1,327.75,317.9200134,152.6000061,Southeast Asia,Singapur,PENDING_PAYMENT,1360,73,Smart watch,327.75,0,First Class,2018-01-13,2018-01-15,1,1,46.56,327.75,2018,1,1,Jan,2018-01,Saturday,2,1,C,Fitness — First Class
CASH,2,1,151.03,314.64,Late delivery,1,73,Sporting Goods,Carlisle,United States,19457,Corporate,PA,2,Fitness,40.03,-76.88,Pacific Asia,Hubli,India,19457,75904,13.10999966,0.039999999,179219,327.75,0.479999989,1,327.75,314.6400146,151.0299988,South Asia,Karnataka,CLOSED,1360,73,Smart watch,327.75,0,First Class,2018-01-13,2018-01-15,1,1,46.08,327.75,2018,1,1,Jan,2018-01,Saturday,2,1,C,Fitness — First Class
DEBIT,2,1,62.27,311.36,Late delivery,1,73,Sporting Goods,Dallas,United States,19456,Corporate,TX,2,Fitness,32.81,-96.69,Pacific Asia,Wollongong,Australia,19456,75903,16.38999939,0.050000001,179218,327.75,0.200000003,1,327.75,311.3599854,62.27000046,Oceania,Nueva Gales del Sur,COMPLETE,1360,73,Smart watch,327.75,0,First Class,2018-01-12,2018-01-14,1,1,19.0,327.75,2018,1,1,Jan,2018-01,Friday,2,1,C,Fitness — First Class
DEBIT,1,0,35.0,309.72,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,19455,Consumer,PR,2,Fitness,18.29,-66.04,Pacific Asia,Wollongong,Australia,19455,75902,18.03000069,0.059999999,179217,327.75,0.109999999,1,327.75,309.7200012,35.0,Oceania,Nueva Gales del Sur,COMPLETE,1360,73,Smart watch,327.75,0,Same Day,2018-01-12,2018-01-13,1,1,10.68,327.75,2018,1,1,Jan,2018-01,Friday,2,1,C,Fitness — Same Day
PAYMENT,1,0,143.16,298.25,Late delivery,1,73,Sporting Goods,Panorama City,United States,19453,Consumer,CA,2,Fitness,34.16,-118.18,Pacific Asia,Singapur,Singapur,19453,75900,29.5,0.090000004,179215,327.75,0.479999989,1,327.75,298.25,143.1600037,Southeast Asia,Singapur,PENDING_PAYMENT,1360,73,Smart watch,327.75,0,Same Day,2018-01-12,2018-01-13,1,1,43.68,327.75,2018,1,1,Jan,2018-01,Friday,2,1,C,Fitness — Same Day
DEBIT,1,0,135.69,294.98,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,19452,Home Office,PR,2,Fitness,18.28,-66.04,Pacific Asia,Singapur,Singapur,19452,75899,32.77999878,0.100000001,179214,327.75,0.460000008,1,327.75,294.980011,135.6900024,Southeast Asia,Singapur,COMPLETE,1360,73,Smart watch,327.75,0,Same Day,2018-01-12,2018-01-13,1,1,41.4,327.75,2018,1,1,Jan,2018-01,Friday,2,1,C,Fitness — Same Day
CASH,4,4,132.67,288.42,Shipping on time,0,73,Sporting Goods,Atlanta,United States,19451,Home Office,GA,2,Fitness,33.82,-84.45,Pacific Asia,Medan,Indonesia,19451,75898,39.33000183,0.119999997,179213,327.75,0.460000008,1,327.75,288.4200134,132.6699982,Southeast Asia,Sumatra Septentrional,CLOSED,1360,73,Smart watch,327.75,0,Standard Class,2018-01-12,2018-01-16,0,0,40.48,0.0,2018,1,1,Jan,2018-01,Friday,2,1,C,Fitness — Standard Class
PAYMENT,3,4,119.76,285.14,Advance shipping,0,73,Sporting Goods,Caguas,Puerto Rico,19450,Home Office,PR,2,Fitness,18.24,-66.04,Pacific Asia,Medan,Indonesia,19450,75897,42.61000061,0.129999995,179212,327.75,0.419999987,1,327.75,285.1400146,119.7600021,Southeast Asia,Sumatra Septentrional,PENDING_PAYMENT,1360,73,Smart watch,327.75,0,Standard Class,2018-01-12,2018-01-15,-1,0,36.54,0.0,2018,1,1,Jan,2018-01,Friday,2,1,C,Fitness — Standard Class
DEBIT,2,4,31.48,278.59,Advance shipping,0,73,Sporting Goods,Fremont,United States,19449,Consumer,CA,2,Fitness,37.49,-121.93,Pacific Asia,Canberra,Australia,19449,75896,49.15999985,0.150000006,179211,327.75,0.109999999,1,327.75,278.5899963,31.47999954,Oceania,Territorio de la Capital Australiana,COMPLETE,1360,73,Smart watch,327.75,0,Standard Class,2018-01-12,2018-01-14,-2,0,9.6,0.0,2018,1,1,Jan,2018-01,Friday,2,1,C,Fitness — Standard Class
TRANSFER,6,4,86.17,275.31,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,19448,Corporate,PR,2,Fitness,18.26,-66.04,Pacific Asia,Bangalore,India,19448,75895,52.43999863,0.159999996,179210,327.75,0.310000002,1,327.75,275.3099976,86.16999817,South Asia,Karnataka,PENDING,1360,73,Smart watch,327.75,0,Standard Class,2018-01-12,2018-01-18,2,1,26.29,327.75,2018,1,1,Jan,2018-01,Friday,2,1,C,Fitness — Standard Class
TRANSFER,5,2,130.58,272.03,Late delivery,1,73,Sporting Goods,Rochester,United States,19447,Corporate,NY,2,Fitness,43.19,-77.57,Pacific Asia,Bangalore,India,19447,75894,55.72000122,0.170000002,179209,327.75,0.479999989,1,327.75,272.0299988,130.5800018,South Asia,Karnataka,PENDING,1360,73,Smart watch,327.75,0,Second Class,2018-01-12,2018-01-17,3,1,39.84,327.75,2018,1,1,Jan,2018-01,Friday,2,1,C,Fitness — Second Class
TRANSFER,4,4,0.0,268.76,Shipping on time,0,73,Sporting Goods,Dallas,United States,19446,Corporate,TX,2,Fitness,32.75,-96.87,Pacific Asia,Yiwu,China,19446,75893,59.0,0.180000007,179208,327.75,0.0,1,327.75,268.7600098,0.0,Eastern Asia,Zhejiang,PROCESSING,1360,73,Smart watch,327.75,0,Standard Class,2018-01-12,2018-01-16,0,0,0.0,0.0,2018,1,1,Jan,2018-01,Friday,2,1,C,Fitness — Standard Class
PAYMENT,5,2,-30.75,115.18,Late delivery,1,17,Cleats,Bayamon,Puerto Rico,9083,Home Office,PR,4,Apparel,18.38,-66.18,Pacific Asia,Mirzapur,India,9083,28744,4.800000191,0.039999999,71956,59.99000168,-0.270000011,2,119.9800034,115.1800003,-30.75,South Asia,Uttar Pradesh,PENDING_PAYMENT,365,17,Perfect Fitness Perfect Rip Deck,59.99000168,0,Second Class,2016-02-24,2016-02-29,3,1,-25.63,119.9800034,2016,2,1,Feb,2016-02,Wednesday,8,1,A,Apparel — Second Class
PAYMENT,2,2,-122.73,79.18,Shipping on time,0,29,Shop By Sport,Caguas,Puerto Rico,4741,Home Office,PR,5,Golf,18.24,-66.37,Pacific Asia,Bursa,Turquía,4741,45461,0.800000012,0.01,113598,39.99000168,-1.549999952,2,79.98000336,79.18000031,-122.7300034,West Asia,Bursa,PENDING_PAYMENT,627,29,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,Second Class,2016-10-25,2016-10-27,0,0,-153.45,0.0,2016,10,4,Oct,2016-10,Tuesday,43,1,B,Golf — Second Class
PAYMENT,6,2,33.6,96.0,Late delivery,1,24,Women'S Apparel,Caguas,Puerto Rico,639,Home Office,PR,5,Golf,18.03,-66.61,Pacific Asia,Murray Bridge,Australia,639,31115,4.0,0.039999999,77757,50.0,0.349999994,2,100.0,96.0,33.59999847,Oceania,Australia del Sur,PENDING_PAYMENT,502,24,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,Second Class,2016-03-30,2016-04-05,4,1,33.6,100.0,2016,3,1,Mar,2016-03,Wednesday,13,1,A,Golf — Second Class
PAYMENT,2,2,24.69,75.98,Shipping on time,0,29,Shop By Sport,Caguas,Puerto Rico,9702,Home Office,PR,5,Golf,18.27,-66.37,Pacific Asia,Kartal,Turquía,9702,45766,4.0,0.050000001,114401,39.99000168,0.330000013,2,79.98000336,75.98000336,24.69000053,West Asia,Estambul,PENDING_PAYMENT,627,29,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,Second Class,2016-10-30,2016-11-01,0,0,30.87,0.0,2016,10,4,Oct,2016-10,Sunday,43,1,B,Golf — Second Class
PAYMENT,3,2,9.1,91.0,Late delivery,1,24,Women'S Apparel,Caguas,Puerto Rico,9114,Home Office,PR,5,Golf,18.28,-66.37,Pacific Asia,Ulan Bator,Mongolia,9114,47752,9.0,0.090000004,119405,50.0,0.100000001,2,100.0,91.0,9.100000381,Eastern Asia,Ulán Bator,PENDING_PAYMENT,502,24,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,Second Class,2016-11-28,2016-12-01,1,1,9.1,100.0,2016,11,4,Nov,2016-11,Monday,48,1,A,Golf — Second Class
PAYMENT,5,2,-21.75,87.0,Late delivery,1,24,Women'S Apparel,Caguas,Puerto Rico,1362,Home Office,PR,5,Golf,18.29,-66.37,Pacific Asia,Estambul,Turquía,1362,50054,13.0,0.129999995,125135,50.0,-0.25,2,100.0,87.0,-21.75,West Asia,Estambul,PENDING_PAYMENT,502,24,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,Second Class,2016-12-31,2017-01-05,3,1,-21.75,100.0,2016,12,4,Dec,2016-12,Saturday,52,1,A,Golf — Second Class
PAYMENT,6,2,6.15,82.0,Late delivery,1,24,Women'S Apparel,Caguas,Puerto Rico,8011,Home Office,PR,5,Golf,18.26,-66.37,Pacific Asia,Raipur,India,8011,20365,18.0,0.180000007,50842,50.0,0.079999998,2,100.0,82.0,6.150000095,South Asia,Rajastán,PENDING_PAYMENT,502,24,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,Second Class,2015-10-25,2015-10-31,4,1,6.15,100.0,2015,10,4,Oct,2015-10,Sunday,43,1,A,Golf — Second Class
PAYMENT,2,2,22.41,74.68,Shipping on time,0,13,Electronics,Caguas,Puerto Rico,3296,Home Office,PR,3,Footwear,18.23,-66.37,USCA,Pasco,Estados Unidos,3296,36146,15.30000019,0.170000002,90273,44.99000168,0.300000012,2,89.98000336,74.68000031,22.40999985,West of USA,Washington,PENDING_PAYMENT,278,13,Under Armour Men's Compression EV SL Slide,44.99000168,0,Second Class,2016-06-11,2016-06-13,0,0,24.91,0.0,2016,6,2,Jun,2016-06,Saturday,23,1,C,Footwear — Second Class
PAYMENT,5,2,25.24,90.15,Late delivery,1,12,Boxing & Mma,Caguas,Puerto Rico,3182,Home Office,PR,3,Footwear,18.26,-66.37,USCA,Los Angeles,Estados Unidos,3182,41234,19.79000092,0.180000007,102921,54.97000122,0.280000001,2,109.9400024,90.15000153,25.23999977,West of USA,California,PENDING_PAYMENT,249,12,Under Armour Women's Micro G Skulpt Running S,54.97000122,0,Second Class,2016-08-24,2016-08-29,3,1,22.96,109.9400024,2016,8,3,Aug,2016-08,Wednesday,34,1,C,Footwear — Second Class
PAYMENT,6,2,30.57,117.58,Late delivery,1,17,Cleats,Caguas,Puerto Rico,7864,Home Office,PR,4,Apparel,18.28,-66.37,USCA,San Francisco,Estados Unidos,7864,32090,2.400000095,0.02,80250,59.99000168,0.25999999,2,119.9800034,117.5800018,30.5699997,West of USA,California,PENDING_PAYMENT,365,17,Perfect Fitness Perfect Rip Deck,59.99000168,0,Second Class,2016-04-13,2016-04-19,4,1,25.48,119.9800034,2016,4,2,Apr,2016-04,Wednesday,15,1,A,Apparel — Second Class
